model,model_type,task,category,score,source
jinaai__jina-embeddings-v5-text-nano,embedding,LLMSTSBenchmark,STS,0.94223,paper
jinaai__jina-embeddings-v5-text-nano,embedding,LLMToxicConversationsClassification,Classification,0.9436,paper
jinaai__jina-embeddings-v5-text-small,embedding,LLMBIOSSES,STS,0.853369,paper
jinaai__jina-embeddings-v5-text-small,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.635664,paper
jinaai__jina-embeddings-v5-text-small,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.536568,paper
jinaai__jina-embeddings-v5-text-small,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.526429,paper
jinaai__jina-embeddings-v5-text-small,embedding,LLMPublicHealthQA,Retrieval,0.77,paper
jinaai__jina-embeddings-v5-text-small,embedding,LLMSTSBenchmark,STS,0.948827,paper
jinaai__jina-embeddings-v5-text-small,embedding,LLMToxicConversationsClassification,Classification,0.944,paper
ncbi__MedCPT,embedding,GOPubMedRetrieval,Retrieval,0.21979,ours
ncbi__MedCPT,embedding,LLMPublicHealthQA,Retrieval,0.37,ours
nvidia__llama-embed-nemotron-8b,embedding,LLMBIOSSES,STS,0.863453,paper
nvidia__llama-embed-nemotron-8b,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.651828,paper
nvidia__llama-embed-nemotron-8b,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.528577,paper
nvidia__llama-embed-nemotron-8b,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.526055,paper
nvidia__llama-embed-nemotron-8b,embedding,LLMPublicHealthQA,Retrieval,0.8,paper
nvidia__llama-embed-nemotron-8b,embedding,LLMSTSBenchmark,STS,0.908026,paper
nvidia__llama-embed-nemotron-8b,embedding,LLMToxicConversationsClassification,Classification,0.8826,paper
sentence-transformers__all-MiniLM-L6-v2,embedding,BioMeSHClassification,Classification,0.6664,ours
sentence-transformers__all-MiniLM-L6-v2,embedding,GOProteinPairCls,PairClassification,0.81275,ours
sentence-transformers__all-MiniLM-L6-v2,embedding,GOPubMedRetrieval,Retrieval,0.24313,ours
sentence-transformers__all-MiniLM-L6-v2,embedding,LLMBIOSSES,STS,0.816404,ours
sentence-transformers__all-MiniLM-L6-v2,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.553702,ours
sentence-transformers__all-MiniLM-L6-v2,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.499304,ours
sentence-transformers__all-MiniLM-L6-v2,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.477143,ours
sentence-transformers__all-MiniLM-L6-v2,embedding,LLMPublicHealthQA,Retrieval,0.61,ours
sentence-transformers__all-MiniLM-L6-v2,embedding,LLMSTSBenchmark,STS,0.820454,ours
sentence-transformers__all-MiniLM-L6-v2,embedding,LLMToxicConversationsClassification,Classification,0.6146,ours
sentence-transformers__all-MiniLM-L6-v2,embedding,PubChemSynonymPC500,PairClassification,0.594162,ours
sentence-transformers__all-MiniLM-L6-v2,embedding,R2MEDBiologyPooled,Retrieval,0.24424,ours
tencent__KaLM-Embedding-Gemma3-12B-2511,embedding,LLMBIOSSES,STS,0.870429,paper
tencent__KaLM-Embedding-Gemma3-12B-2511,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.640864,paper
tencent__KaLM-Embedding-Gemma3-12B-2511,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.546818,paper
tencent__KaLM-Embedding-Gemma3-12B-2511,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.531826,paper
tencent__KaLM-Embedding-Gemma3-12B-2511,embedding,LLMPublicHealthQA,Retrieval,0.71,paper
tencent__KaLM-Embedding-Gemma3-12B-2511,embedding,LLMSTSBenchmark,STS,0.89129,paper
tencent__KaLM-Embedding-Gemma3-12B-2511,embedding,LLMToxicConversationsClassification,Classification,0.9018,paper
MiniMaxAI__MiniMax-M2.5,llm,LLMBIOSSES,STS,0.85928,paper
MiniMaxAI__MiniMax-M2.5,llm,LLMBiorxivClusteringP2PV2,Clustering,0.345717,paper
MiniMaxAI__MiniMax-M2.5,llm,LLMMedrxivClusteringP2PV2,Clustering,0.387291,paper
MiniMaxAI__MiniMax-M2.5,llm,LLMSTSBenchmark,STS,0.853711,paper
MiniMaxAI__MiniMax-M2.5,llm,LLMToxicConversationsClassification,Classification,0.826,paper
Qwen__Qwen3.5-397B-A17B-FP8,llm,LLMToxicConversationsClassification,Classification,0.882,paper
deepseek-r1,llm,LLMBIOSSES,STS,0.849513,paper
deepseek-r1,llm,LLMBiorxivClusteringP2PV2,Clustering,0.323789,paper
deepseek-r1,llm,LLMMedrxivClusteringP2PV2,Clustering,0.31694,paper
deepseek-r1,llm,LLMMedrxivClusteringS2SV2,Clustering,0.33384,paper
deepseek-r1,llm,LLMPublicHealthQA,Retrieval,0.64,paper
deepseek-r1,llm,LLMSTSBenchmark,STS,0.891598,paper
deepseek-r1,llm,LLMToxicConversationsClassification,Classification,0.782,paper
deepseek__deepseek-v4-flash,llm,BioMeSHClassification,Classification,0.804,ours
deepseek__deepseek-v4-flash,llm,GOProteinPairCls,PairClassification,0.786237,ours
deepseek__deepseek-v4-flash,llm,GOPubMedRetrieval,Retrieval,0.331349,ours
deepseek__deepseek-v4-flash,llm,LLMBIOSSES,STS,0.785235,paper
deepseek__deepseek-v4-flash,llm,LLMBiorxivClusteringP2PV2,Clustering,0.292708,paper
deepseek__deepseek-v4-flash,llm,LLMMedrxivClusteringP2PV2,Clustering,0.269854,paper
deepseek__deepseek-v4-flash,llm,LLMMedrxivClusteringS2SV2,Clustering,0.40866,paper
deepseek__deepseek-v4-flash,llm,LLMPublicHealthQA,Retrieval,0.64,paper
deepseek__deepseek-v4-flash,llm,LLMSTSBenchmark,STS,0.879278,paper
deepseek__deepseek-v4-flash,llm,LLMToxicConversationsClassification,Classification,0.804,paper
deepseek__deepseek-v4-flash,llm,PubChemSynonymPC500,PairClassification,0.474897,ours
deepseek__deepseek-v4-flash,llm,R2MEDBiologyPooled,Retrieval,0.310347,ours
deepseek__deepseek-v4-pro,llm,LLMPublicHealthQA,Retrieval,0.63,paper
deepseek__deepseek-v4-pro,llm,LLMSTSBenchmark,STS,0.873428,paper
glm-4.7,llm,LLMBIOSSES,STS,0.823417,paper
glm-4.7,llm,LLMBiorxivClusteringP2PV2,Clustering,0.331753,paper
glm-4.7,llm,LLMMedrxivClusteringP2PV2,Clustering,0.374818,paper
glm-4.7,llm,LLMMedrxivClusteringS2SV2,Clustering,0.377747,paper
glm-4.7,llm,LLMPublicHealthQA,Retrieval,0.7,paper
glm-4.7,llm,LLMSTSBenchmark,STS,0.884716,paper
glm-4.7,llm,LLMToxicConversationsClassification,Classification,0.876,paper
glm-5.1,llm,LLMToxicConversationsClassification,Classification,0.898,paper
google__gemini-3-flash-preview,llm,LLMBIOSSES,STS,0.886538,paper
google__gemini-3-flash-preview,llm,LLMBiorxivClusteringP2PV2,Clustering,0.608035,paper
google__gemini-3-flash-preview,llm,LLMMedrxivClusteringP2PV2,Clustering,0.505622,paper
google__gemini-3-flash-preview,llm,LLMMedrxivClusteringS2SV2,Clustering,0.50285,paper
google__gemini-3-flash-preview,llm,LLMPublicHealthQA,Retrieval,0.49,paper
google__gemini-3-flash-preview,llm,LLMSTSBenchmark,STS,0.917394,paper
google__gemini-3-flash-preview,llm,LLMToxicConversationsClassification,Classification,0.9,paper
google__gemini-3.1-flash-lite-preview,llm,BioMeSHClassification,Classification,0.788,ours
google__gemini-3.1-flash-lite-preview,llm,GOProteinPairCls,PairClassification,0.850526,ours
google__gemini-3.1-flash-lite-preview,llm,GOPubMedRetrieval,Retrieval,0.305794,ours
google__gemini-3.1-flash-lite-preview,llm,LLMBIOSSES,STS,0.89765,paper
google__gemini-3.1-flash-lite-preview,llm,LLMBiorxivClusteringP2PV2,Clustering,0.173929,paper
google__gemini-3.1-flash-lite-preview,llm,LLMMedrxivClusteringP2PV2,Clustering,0.197112,paper
google__gemini-3.1-flash-lite-preview,llm,LLMMedrxivClusteringS2SV2,Clustering,0.215886,paper
google__gemini-3.1-flash-lite-preview,llm,LLMPublicHealthQA,Retrieval,0.45,paper
google__gemini-3.1-flash-lite-preview,llm,LLMSTSBenchmark,STS,0.903116,paper
google__gemini-3.1-flash-lite-preview,llm,LLMToxicConversationsClassification,Classification,0.886,paper
google__gemini-3.1-flash-lite-preview,llm,PubChemSynonymPC500,PairClassification,0.469353,ours
google__gemini-3.1-flash-lite-preview,llm,R2MEDBiologyPooled,Retrieval,0.31868,ours
google__gemini-3.1-pro-preview,llm,LLMBIOSSES,STS,0.896214,paper
google__gemini-3.1-pro-preview,llm,LLMBiorxivClusteringP2PV2,Clustering,0.625399,paper
google__gemini-3.1-pro-preview,llm,LLMMedrxivClusteringP2PV2,Clustering,0.525138,paper
google__gemini-3.1-pro-preview,llm,LLMMedrxivClusteringS2SV2,Clustering,0.539756,paper
google__gemini-3.1-pro-preview,llm,LLMPublicHealthQA,Retrieval,0.9,paper
google__gemini-3.1-pro-preview,llm,LLMSTSBenchmark,STS,0.926244,paper
google__gemini-3.1-pro-preview,llm,LLMToxicConversationsClassification,Classification,0.896,paper
kimi-k2.6,llm,LLMBIOSSES,STS,0.863853,paper
kimi-k2.6,llm,LLMBiorxivClusteringP2PV2,Clustering,0.519343,paper
kimi-k2.6,llm,LLMMedrxivClusteringP2PV2,Clustering,0.505597,paper
kimi-k2.6,llm,LLMMedrxivClusteringS2SV2,Clustering,0.391456,paper
kimi-k2.6,llm,LLMPublicHealthQA,Retrieval,0.67,paper
kimi-k2.6,llm,LLMSTSBenchmark,STS,0.87821,paper
kimi-k2.6,llm,LLMToxicConversationsClassification,Classification,0.888,paper
minimax-m2.7,llm,LLMBIOSSES,STS,0.877027,paper
minimax-m2.7,llm,LLMBiorxivClusteringP2PV2,Clustering,0.383217,paper
minimax-m2.7,llm,LLMMedrxivClusteringP2PV2,Clustering,0.397577,paper
minimax-m2.7,llm,LLMMedrxivClusteringS2SV2,Clustering,0.424095,paper
minimax-m2.7,llm,LLMPublicHealthQA,Retrieval,0.59,paper
minimax-m2.7,llm,LLMSTSBenchmark,STS,0.857327,paper
minimax-m2.7,llm,LLMToxicConversationsClassification,Classification,0.876,paper
qwen3.6-27b,llm,LLMBIOSSES,STS,0.850338,paper
qwen3.6-27b,llm,LLMBiorxivClusteringP2PV2,Clustering,0.498685,paper
qwen3.6-27b,llm,LLMMedrxivClusteringP2PV2,Clustering,0.479741,paper
qwen3.6-27b,llm,LLMMedrxivClusteringS2SV2,Clustering,0.426767,paper
qwen3.6-27b,llm,LLMPublicHealthQA,Retrieval,0.86,paper
qwen3.6-27b,llm,LLMSTSBenchmark,STS,0.895524,paper
qwen3.6-27b,llm,LLMToxicConversationsClassification,Classification,0.892,paper
qwen3.6-35b-a3b,llm,BioMeSHClassification,Classification,0.818,ours
qwen3.6-35b-a3b,llm,GOProteinPairCls,PairClassification,0.792105,ours
qwen3.6-35b-a3b,llm,GOPubMedRetrieval,Retrieval,0.305794,ours
qwen3.6-35b-a3b,llm,LLMBIOSSES,STS,0.840273,paper
qwen3.6-35b-a3b,llm,LLMBiorxivClusteringP2PV2,Clustering,0.531878,paper
qwen3.6-35b-a3b,llm,LLMMedrxivClusteringP2PV2,Clustering,0.494304,paper
qwen3.6-35b-a3b,llm,LLMMedrxivClusteringS2SV2,Clustering,0.461829,paper
qwen3.6-35b-a3b,llm,LLMPublicHealthQA,Retrieval,0.83,paper
qwen3.6-35b-a3b,llm,LLMSTSBenchmark,STS,0.877526,paper
qwen3.6-35b-a3b,llm,LLMToxicConversationsClassification,Classification,0.91,paper
qwen3.6-35b-a3b,llm,PubChemSynonymPC500,PairClassification,0.460603,ours
zai-org__GLM-4.7-FP8,llm,LLMToxicConversationsClassification,Classification,0.868,paper
